"Carimbo de data/hora","Pontuação total","1. Qual a sua faixa etária?","1. Qual a sua faixa etária? [Pontuação]","1. Qual a sua faixa etária? [Feedback]","2. Qual é o seu nível de formação?
 ","2. Qual é o seu nível de formação?
  [Pontuação]","2. Qual é o seu nível de formação?
  [Feedback]","3. Você já ouviu falar sobre práticas ESG (Ambiental, Social e Governança)?","3. Você já ouviu falar sobre práticas ESG (Ambiental, Social e Governança)? [Pontuação]","3. Você já ouviu falar sobre práticas ESG (Ambiental, Social e Governança)? [Feedback]","4.Você saberia explicar o que são práticas ESG?
","4.Você saberia explicar o que são práticas ESG?
 [Pontuação]","4.Você saberia explicar o que são práticas ESG?
 [Feedback]","
5. Você acha importante que profissionais de TI conheçam e apliquem princípios ESG no seu trabalho?","
5. Você acha importante que profissionais de TI conheçam e apliquem princípios ESG no seu trabalho? [Pontuação]","
5. Você acha importante que profissionais de TI conheçam e apliquem princípios ESG no seu trabalho? [Feedback]","6. Na empresa onde você trabalha (ou trabalhou mais recentemente), existe alguma política ou ação voltada às práticas ESG?
","6. Na empresa onde você trabalha (ou trabalhou mais recentemente), existe alguma política ou ação voltada às práticas ESG?
 [Pontuação]","6. Na empresa onde você trabalha (ou trabalhou mais recentemente), existe alguma política ou ação voltada às práticas ESG?
 [Feedback]","7. Na sua opinião, qual área da TI pode mais contribuir com as práticas ESG?","7. Na sua opinião, qual área da TI pode mais contribuir com as práticas ESG? [Pontuação]","7. Na sua opinião, qual área da TI pode mais contribuir com as práticas ESG? [Feedback]","8. Você gostaria de aprender mais sobre ESG aplicado à área de TI?","8. Você gostaria de aprender mais sobre ESG aplicado à área de TI? [Pontuação]","8. Você gostaria de aprender mais sobre ESG aplicado à área de TI? [Feedback]"
"2025/07/10 1:25:24 PM GMT-3","0.00 / 100","Entre 40 e 50","-- / 0","","Outros","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Não existe","-- / 0","","Manutenção ","-- / 0","","Talvez","-- / 100",""
"2025/07/10 1:33:04 PM GMT-3","0.00 / 100","Entre 40 e 50","-- / 0","","Outros","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Não sei informar","-- / 0","","Segurança ","-- / 0","","Sim","-- / 100",""
"2025/07/10 1:39:30 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Técnico em T.I","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Não","-- / 0","","Sim, formal e divulgada","-- / 0","","Gestão de Dados e Sistemas","-- / 0","","Não","-- / 100",""
"2025/07/10 1:40:30 PM GMT-3","0.00 / 100","Entre 40 e 50","-- / 0","","Superior Completo","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Não sei informar","-- / 0","","","-- / 0","","Não","-- / 100",""
"2025/07/10 2:05:55 PM GMT-3","0.00 / 100","Entre 30 e 40","-- / 0","","Técnico em T.I","-- / 0","","Sim","-- / 0","","Não saberia","-- / 0","","Nunca pensei sobre isso","-- / 0","","Não sei informar","-- / 0","","Todas","-- / 0","","Talvez","-- / 100",""
"2025/07/10 2:06:22 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Incompleto","-- / 0","","Não","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Não sei informar","-- / 0","","","-- / 0","","Talvez","-- / 100",""
"2025/07/10 2:10:13 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Técnico em T.I","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Sim, mas é pouco divulgada","-- / 0","","","-- / 0","","Sim","-- / 100",""
"2025/07/10 2:14:39 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Incompleto","-- / 0","","Sim","-- / 0","","Não saberia","-- / 0","","Nunca pensei sobre isso","-- / 0","","Não existe","-- / 0","","Não saberia responder.","-- / 0","","Talvez","-- / 100",""
"2025/07/10 2:31:25 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Incompleto","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","","-- / 0","","Talvez","-- / 100",""
"2025/07/10 2:37:49 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Incompleto","-- / 0","","Sim","-- / 0","","Não saberia","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","","-- / 0","","Sim","-- / 100",""
"2025/07/10 2:40:41 PM GMT-3","0.00 / 100","Entre 30 e 40","-- / 0","","Outros","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Não sei informar","-- / 0","","Todas","-- / 0","","Sim","-- / 100",""
"2025/07/10 2:58:51 PM GMT-3","0.00 / 100","Entre 40 e 50","-- / 0","","Outros","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Não sei informar","-- / 0","","Manutenção ","-- / 0","","Sim","-- / 100",""
"2025/07/10 3:30:02 PM GMT-3","0.00 / 100","Acima de 50","-- / 0","","Superior Completo","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Não existe","-- / 0","","Todas","-- / 0","","Sim","-- / 100",""
"2025/07/10 3:31:41 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Completo","-- / 0","","Não","-- / 0","","Não saberia","-- / 0","","Nunca pensei sobre isso","-- / 0","","Não sei informar","-- / 0","","","-- / 0","","Sim","-- / 100",""
"2025/07/10 3:56:10 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Incompleto","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Não existe","-- / 0","","","-- / 0","","Sim","-- / 100",""
"2025/07/10 3:56:26 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Superior Completo","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Sim, mas é pouco divulgada","-- / 0","","","-- / 0","","Sim","-- / 100",""
"2025/07/10 4:19:49 PM GMT-3","0.00 / 100","Entre 40 e 50","-- / 0","","Superior Incompleto","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","","-- / 0","","Talvez","-- / 100",""
"2025/07/11 12:34:09 PM GMT-3","0.00 / 100","Entre 30 e 40","-- / 0","","Superior Completo","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","Todas","-- / 0","","Sim","-- / 100",""
"2025/07/11 1:36:42 PM GMT-3","0.00 / 100","Entre 40 e 50","-- / 0","","Superior Completo","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","Área de operações ","-- / 0","","Sim","-- / 100",""
"2025/07/11 2:08:56 PM GMT-3","0.00 / 100","Entre 30 e 40","-- / 0","","Superior Completo","-- / 0","","Sim","-- / 0","","Sim com total segurança","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","Todas","-- / 0","","Sim","-- / 100",""
"2025/07/11 3:24:19 PM GMT-3","0.00 / 100","Entre 20 e 30","-- / 0","","Técnico em T.I","-- / 0","","Sim","-- / 0","","Tenho uma noção, mas não saberia explicar","-- / 0","","Sim","-- / 0","","Sim, formal e divulgada","-- / 0","","Não sei ao certo","-- / 0","","Talvez","-- / 100",""
